Ulasan,Label
nerf algojo bro terlalu op gila lu minimal nerf nya ga bisa nyerang udara lah,Negatif
"musuh sering beda level & game tiba"" lag banyak cit",Negatif
nostalgia dengan game terbaik,Positif
baik,Positif
game p2w,Negatif
"INI GAME JARINGANNYA AMPAS BANGET TAIKK, MANA SERING KELUAR SENDIRI PULA, MAIN GAME YANG LEBIH BERAT GA PERNAH KEJADIAN, GILIRAN GAME BEGINI ADA AJA MASALAHNYA, BENAR2 DIRUGIKAN SEBAGAI PEMAIN, SERING BANGET KALAH KARNA TIBA2 KELUAR DARI PERMAINAN EEK",Negatif
good,Positif
pay to win anjing,Negatif
"matchnya di kontrol pihak sono, ketemu mega knight mulu pas mau ambil peti legendary, GJ",Negatif
"game suka nge bug setiap selesai match selalu stuck padahal koneksi sangat lancar, matchmaking selalu tidak sesuai level lawak pantas sudah tidak jadi top game lagi, tolol sekali si supercell",Negatif
Pisahkan Server F2P dan P2W sampai rank 10k,Others
saya suka cr,Positif
"sering bermasalah dalam koneksi, padahal sinyal aman, loading screen sering lama",Negatif
mantap,Positif
gak sepadan sama lawan sekalian kasih lawan yang lebih lah dari kita yang di bawa tapi maklum game sepih,Negatif
"Game kontolllll, yg p2w mati ajaaaa",Negatif
"game ringan tapi sekali update makan kuota gede. jaringan tiba² ngeleg, sekelas ml,pubg aja mampu masa game ginian doang ngeleg² muluu.",Negatif
game menarik dari saat saya kecil sampai sekarang saya suka memainkan game menarik berteman kan pegang,Positif
"tiap mau nyerang dibuat putus koneksi padahal ga ada masalah sama sinyal, seenak jidat kasih lawan, level baru 9 aja bisa dikasih level 14..",Negatif
"sering ketemu musuh lvl deknya lebih gede, game kikir",Negatif
lvl kartu cmn 11-12 lawan nya kartu lvl 14 minimal di batasin lah lvl kartu jmbot,Negatif
sinyal sering hilang padahal koneksi internet stabil,Negatif
PAY TO WIN GAME AND HAVE MANY BUG,Negatif
pay to win,Negatif
lagi war tiba2 keluar fcuk,Negatif
keren,Positif
jaringan bagus sering hilang koneksi,Negatif
hapus Mega knight anjg,Negatif
Game bagus Sebenernya kalo di develop dengan baik tapi bug sinyal yang aneh banget masa sinyal aman tapi lag mulu aneh. Game udah pay to win masa masalah bug sinyal gk bisa dibenerin kecewa,Others
MENGECEWAKAN,Negatif
"sinyal bagus maen game lain lancar mau login game gini aje susah bnr,",Negatif
"harus sinyal sekuat apa yang harus saya pakai, saya sudah bermain 6 pertandingan berturut turut dengan sinyal yang kuat tapi kenapa game nya delay dan saya mau mengeluarkan kartu tidak bisa dikarenakan sinyanyaa lemot, ayolah masa saya harus pakai nasa??????",Negatif
"halo developer dari indonesia aku cukup kecewa dengan kinerja kalian karena ada beberapa hal yang membuatku merasa tidak nyaman dimana secara keseluruhan bahwa wifiku kuat tetapi diclash royale kena disconnected dan secara daily reward cukup kecewa karena kita sebagai player merasa ga adil khusus F2P sangat kesulitan dapat chest langka dan besar tetapi P2W bisa dapat tersebut dengan gampang, ini seperti istilanya preman berkedok pembuat game, yang dimana mau dapat chest bagus ya harus bayar.",Others
sinyal putus kayak dibuat buat.,Negatif
"game gakjelas, lawan gak imbang musuh pay to win, boss bandit arena 12 apaan? entah cheat apa bukan tadi main CR + tambahan waktu tiba"" sinyal hilang padahal juga pake paketan data, itupun paketan juga baru ngisi. match sebelumnya juga lancar-lancar aja, kalo emang CR masih aja ada yang pake cheat, CR gak berhak bintang 5",Negatif
"Kualitas sinyal di game buruk sangat buruk malah, wifi lancar dipaksa dc, data lancar sama juga memang buruk di jaringan 👎👎",Negatif
lama bgt pas msuk gme bisa 2jam,Negatif
"tolong dong developernya masalah sinyal nya di. benerin, masak sinyal bagus kuotanya masih banyak tpi pas masuk apk ngeleg parahhhhh padahal buat main game lainnya lancar lancar ajaa....!!!!!!!",Negatif
abis disconnect mau masuk di tengah game lama masuknya,Negatif
"anjg sinyalnya kadang busuk banget kalo main, lawan ga sepadan bisa"" nya eliksir cepet banget udah gitu sinyal pasti hilang!!!",Negatif
LAG BANGET SIALAN,Negatif
terlalu banyak p2w,Negatif
Gam yang sangat bagus!,Positif
"aneh,sambungan selalu terputus padahal jaringan bagus,sinyal wifi kuat,tpi sambungan selalu terputus",Negatif
"Game paling gak balance, level masih 12 udah ketemu level 14,beda level kartu jauh sorry bintang 1",Negatif
Keren,Positif
good strategic game,Positif
Seru game nya ini bukan p2w tapi tentang skill ada ytber level 1 dan 6000 trophies jadi ini tentang skill bukan level card,Positif
"gajelas, tiba² arena 2 udah ada yang pake prince, arena 3 ada yang pake algojo dan P.E.K.K.A Evo?",Negatif
"gw liat org laen gampang bngt naekin arena lawannya di kasih gampang, lah gw?. di kasih susah mulu najis gw mah",Negatif
"game scam, game jelek, game ga asik dimainin, game sampah, game ampas, game ga guna, game stresss!!!",Negatif
seru banget kata Ilham,Positif
P2W KONTOLLL,Negatif
game yahudi,Negatif
lah akun gw yg banyak Hero legend nya ilang,Negatif
sering sering bagi trofi sama gems mbut jok medit2,Negatif
"apaan ditengah game selalu disconnect padahal jaringan full, jadinya kalah. Ini tolong perbaiki!!!!!!!!!!",Negatif
game seru dan melatih strategi <3,Positif
game jelek,Negatif
Astri Eilza,Others
"servernya ampas banget 1 menit pertama main ada kali 4-5 error koneksi dengan server, padahal sinyal saya sangat ama",Negatif
ganiat ngsih eliksir,Negatif
gamenya kurang karena saya ngepihs saharian dikasih lose👎👎,Negatif
baik,Positif
Mekanisme tidak imbang,Negatif
"padahal sinyal saya 4G terus tapi suka tiba tiba terputus aneh, apalagi tiap malam minggu loading screen suka stuck di 75%. perbaiki lagi ya bug nya",Negatif
permainan bagus,Positif
mengapa saya waktu melakukan topup dana atau pulsa selalu tidak bisa,Negatif
game ny sangat bagus ngk ribett,Positif
gameplay gak adil ngotak dong kalau nyariin lawan,Negatif
game mantap,Positif
seru sih... tapi bug nya bikin ribet. masa sih kadang loading ngestuck di 75% dan kalo mau benerin harus instal ulang. belum lagi player player pay to win yg bikin ga balance matchmakingnya,Others
Bad,Negatif
apalah setiap buka chest isinya coin waeeee ini game seru cuma kalo level raja mau naik malah dikasihnya coin Teruus kesel aku mau naikin lvl raja ke lvl 12 tapi naikinnyaa loh susah,Negatif
"GAME STRES,, GAK USAH DI DOWNLOAD",Negatif
game bodoh masa deck musuh pada level nya gak ngotak minimal seimbang KLO mau pilih musuh. ini di kasih nya yg deck levelnya yg gak ngotak. ini game kayak nya pengen bikin player kalah Mulu dah sampe stress sumpah,Negatif
p2w banget dah,Negatif
